Word	[ (Document1, Count1), ... ]
1911early	(12, 1) (13, 1) 
1911–1912	(7, 1) 
1912	(20, 3) (3, 2) (27, 1) (13, 1) (12, 1) (17, 3) 
1912the	(27, 1) 
1913	(27, 1) (20, 1) (2, 2) (17, 5) 
1914	(17, 4) (20, 2) (27, 3) (22, 4) (2, 4) (19, 1) (12, 1) (6, 1) (13, 1) 
1914—a	(17, 1) 
1915	(17, 5) (8, 2) (27, 5) (20, 2) (22, 2) (21, 1) (15, 1) (19, 1) 
1915physical	(17, 1) 
1915prohibiting	(20, 1) 
1915seager	(20, 1) 
1916	(27, 2) (8, 1) (30, 1) (17, 2) (6, 1) (2, 1) 
1917	(2, 2) (8, 1) (13, 1) (10, 1) (20, 1) (19, 13) (17, 3) (21, 2) (12, 1) (22, 1) 
1917kornilov	(19, 1) 
1917–19	(19, 1) 
1917–1919	(19, 1) 
1917–1920	(19, 2) 
1917–1922	(19, 1) 
1918	(19, 33) (20, 4) (2, 4) (10, 1) (27, 2) (7, 3) (13, 3) (8, 1) (30, 3) (12, 3) (17, 1) 
1918allied	(19, 1) 
1918unofficially	(20, 1) 
1918when	(20, 1) 
1918–19	(19, 1) 
1918–1919	(19, 7) 
1918–1919british	(19, 1) 
1918–1919canadian	(19, 1) 
1918–1920	(19, 6) 
1918–1921	(19, 1) 
1918–1922	(19, 1) 
1918–1945	(10, 1) 
1918–1971	(10, 1) 
1918–20	(19, 1) 
1919	(19, 21) (10, 1) (20, 2) (2, 4) (17, 6) 
1919-1947	(20, 1) 
191913000	(19, 1) 
1919france	(20, 1) 
1919general	(19, 1) 
1919–1920karl	(2, 1) 
1919–1945	(10, 1) 
192	(22, 1) 
1920	(22, 2) (2, 2) (19, 4) (17, 1) (7, 1) (20, 1) 
1920bessarabiaafter	(19, 1) 
1920s	(19, 1) (2, 1) (22, 3) (27, 4) (30, 2) (21, 1) 
1920sequations	(17, 1) 
1921	(17, 10) (26, 1) (22, 1) (20, 1) (7, 1) (2, 2) (8, 2) 
1921–1923winston	(19, 1) 
1921—already	(2, 1) 
1922	(2, 1) (13, 3) (7, 1) (17, 5) (20, 1) (22, 1) (19, 2) (12, 3) 
1922caucasusin	(19, 1) 
1922einsteinium	(17, 1) 
1923	(17, 4) (2, 4) (26, 1) (7, 2) (13, 1) (12, 1) (15, 1) 
1924	(7, 4) (8, 1) (2, 4) (17, 3) (12, 1) (13, 1) (22, 1) (27, 1) 
1924–1925	(27, 1) 
1925	(27, 3) (2, 4) (8, 2) (19, 1) (22, 1) (17, 6) 
1925allied	(19, 1) 
1925backgroundrevolutionin	(19, 1) 
1925rebuilding	(2, 1) 
1926	(2, 1) (17, 2) (22, 1) 
1926quantum	(17, 1) 
1927	(21, 1) (27, 1) (22, 1) (2, 1) (12, 2) (13, 2) (10, 1) 
1928	(7, 1) (27, 2) (30, 1) 
1929	(15, 2) (17, 2) (2, 3) 
193	(2, 3) 
1930	(2, 4) (17, 5) (13, 1) (22, 1) (7, 1) (12, 1) 
1930einstein	(17, 1) 
1930s	(10, 1) (5, 1) (30, 4) (9, 1) (7, 1) (2, 2) (22, 3) (27, 9) 
1930sunited	(22, 1) 
1931	(17, 5) (27, 2) (2, 1) 
1932	(2, 7) (17, 3) 
1932—had	(2, 1) 
1933	(2, 16) (22, 1) (21, 1) (17, 12) (27, 1) 
1933locker-lampson	(17, 1) 
1933triumph	(2, 1) 
1934	(2, 5) 
1935	(2, 2) (17, 5) (27, 2) 
1935olympia	(2, 1) 
1935one	(10, 1) 
1935tag	(2, 1) 
1936	(2, 7) (10, 1) (15, 1) (22, 1) (8, 1) (12, 1) (25, 1) (21, 1) (13, 1) 
1936a	(17, 1) 
1936other	(10, 1) 
1937	(17, 1) (2, 2) (27, 3) (7, 3) 
1938	(7, 1) (2, 16) (22, 5) (27, 2) (13, 1) (12, 1) 
1938in	(2, 1) 
1938see	(2, 1) 
1938–50	(10, 1) 
1939	(2, 16) (30, 1) (7, 1) (17, 2) (20, 1) (21, 1) (27, 6) (22, 2) 
1939–1945	(4, 1) (5, 1) 
1940	(17, 2) (12, 1) (10, 3) (22, 6) (2, 7) (7, 1) (27, 3) (13, 1) (20, 3) 
1940-origin	(27, 1) 
1940french	(30, 1) 
1940s	(12, 1) (13, 1) (21, 1) 
1940seinstein	(17, 1) 
1940the	(22, 1) 
1940this	(13, 1) (12, 1) 
1940–1945	(10, 1) 
1941	(10, 4) (12, 1) (30, 3) (5, 1) (27, 3) (2, 11) (13, 1) (7, 1) (22, 4) 
1941–1942	(10, 1) 
1941–1942rikusentai	(10, 1) 
1941–42	(27, 1) 
1942	(27, 2) (10, 8) (22, 10) (12, 2) (30, 1) (15, 1) (2, 7) (8, 1) (13, 2) (20, 2) 
1942–1944	(7, 1) 
1943	(10, 9) (27, 3) (22, 3) (5, 1) (28, 1) (8, 1) (11, 2) (2, 5) 
1943d-daythe	(22, 1) 
1943–1944	(28, 1) 
1943–44	(28, 1) 
1943–442nd/3rd	(27, 1) 
1944	(2, 6) (10, 20) (22, 4) (9, 1) (14, 1) (8, 4) 
1944-1945	(14, 1) 
1944-45the	(15, 1) 
1944/45	(10, 1) 
1944while	(27, 1) 
1944–45	(10, 1) 
1944–45the	(10, 1) 
